ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
4968,Larena,Philippine Islands,"Larena, Siquijor, Philippines",9.2463372,123.6063855,Larena,Philippines,done
8547,Lazy Bay,Alaska,"Arugam Bay, Sri Lanka",6.847337,81.8309704,Arugam Bay,Sri Lanka,done
6248,Large Islet,Australia North Coast,"Large Island, Grenada",12.4067997,-61.48878870000001,,Grenada,done
1679,Le Chapus,France,"Le Chapus, 17560 Bourcefranc-le-Chapus, France",45.85057,-1.151583,Bourcefranc-le-Chapus,France,done
1636,Le Conquet,France,"Le Conquet, France",48.359961,-4.774586999999999,Le Conquet,France,done
64,Lee-On-The-Solent,England,"Lee-on-the-Solent, UK",50.8020939,-1.202352,Lee-on-the-Solent,United Kingdom,done
1661,Le Croisic,France,"Le Croisic, France",47.29431899999999,-2.511908,Le Croisic,France,done
6227A,Leeman,Australia South Coast,"Leeman WA 6514, Australia",-29.95,114.98,Leeman,Australia,done
1663,Le Grand-Charpentier,France,"Grand Charpentier, France",47.2136111,-2.3186111,,France,done
1475A,Leerort,Germany,"Leerort, 26789 Leer (Ostfriesland), Germany",53.2154933,7.431159399999999,Leer (Ostfriesland),Germany,done
1644,Le Guilvinec,France,"29730 Guilvinec, France",47.797213,-4.284075,Guilvinec,France,done
5032,LEGASPI,Philippine Islands,"Legazpi City, Albay, Philippines",13.1390621,123.7437995,Legazpi City,Philippines,done
1582,LE HAVRE,France,"Le Havre, France",49.49437,0.107929,Le Havre,France,done
5887,Leggatt Island,Australia East Coast,"Leggatt Island, Starcke QLD 4895, Australia",-14.5472545,144.8686525,Starcke,Australia,done
1575,Le Hourdel,France,"Le Hourdel, 80410 Cayeux-sur-Mer, France",50.214669,1.564623,Cayeux-sur-Mer,France,done
2728A,Leipsic,United States,"Leipsic, OH 45856, USA",41.0983846,-83.98466549999999,Leipsic,United States,done
2270,Le Larivot,French Guiana,"13 Lot. Dalmazir, ZI du Larivot, 97351 Matoury, France",4.894377,-52.332302,Matoury,France,done
0786A,Leirvik,Faeroe Islands,"Leirvik, Norway",59.77976640000001,5.5005327,Leirvik,Norway,done
1617,Le Legue (Buoy),France,,,,,,not_found
1267,"Leirvik, Norway",Norway,"Leirvik, Norway",59.77976640000001,5.5005327,Leirvik,Norway,done
1658B,Le Logeo,France,"Le Logéo, 56370 Sarzeau, France",47.545836,-2.847502,Sarzeau,France,done
225,LEITH,Scotland,"Leith, ND 58529, USA",46.35833950000001,-101.6365298,Leith,United States,done
1686,Le Marquis,France,"Le Marquis, 74570, France",46.037623,6.206138999999999,,France,done
2052,Leith Harbour,Antarctica,"Western Harbour, Leith, Eh6 6pb, EH6 6PQ",55.9869593,-3.189742,,United Kingdom,done
1654,Le Palais,France,"56360 Le Palais, France",47.347009,-3.156406,Le Palais,France,done
6711A,Leleuvia Island,Fiji Islands,"Leleuvia, Fiji",-18.833333,178.116667,,Fiji,done
1666,Le Pellerin,France,"44640 Le Pellerin, France",47.200228,-1.75346,Le Pellerin,France,done
2034,Lemaire Island (Caleta Gloria),Antarctica,,,,,,not_found
1662,Le Pouliguen,France,"Le Pouliguen, France",47.269852,-2.425372,Le Pouliguen,France,done
8668,Lemesurier Island,Chicagof Island,"Lemesurier Island, Alaska, USA",58.288115,-136.0868981,,United States,done
2449,Le Robert,Windward Islands,"Robert, Turpin, OK 73950, USA",36.8674611,-100.8760565,Turpin,United States,done
6678,Leone Bay,Samoa Islands,"E Bay Shore Dr, San Leon, TX 77539, USA",29.4991587,-94.93520690000001,San Leon,United States,done
1611C,Le Senequet,France,"Rue du Senequet, 50560 Blainville-sur-Mer, France",49.08109,-1.601214,Blainville-sur-Mer,France,done
2862,Lepreau Bay,Canada,"Lepreau, NB E5J, Canada",45.1669725,-66.468845,Lepreau,Canada,done
1573,Le Touquet (Etaples),France,"Gare D'Etaples Le Touquet, Place de la Gare, 62630 Étaples, France",50.51688919999999,1.6423585,Étaples,France,done
1232,Lepsoyrevet,Norway,,,,,,not_found
1578,Le Treport,France,"Le Tréport, France",50.05916999999999,1.382472,Le Tréport,France,done
1697,Lequeitio,Spain,"Lekeitio, Bizkaia, Spain",43.3672101,-2.5074163,Lekeitio,Spain,done
1637,Le Trez Hir,France,"Le Trez Hir, 29217 Plougonvelin, France",48.34752,-4.706493,Plougonvelin,France,done
8960A,Leroy Bay,Canada,"Leroy Bay, Larder Lake, ON P0J, Canada",48.1037591,-79.6605445,,Canada,done
1680A,Le Verdon-Sur-Mer,France,"33123 Le Verdon-sur-Mer, France",45.546371,-1.061701,Le Verdon-sur-Mer,France,done
287,LERWICK,Scotland,"Lerwick, Shetland ZE1, UK",60.1529871,-1.1492932,Lerwick,United Kingdom,done
5158A,Leba An,Sarawak,Lebanon,33.854721,35.862285,,Lebanon,done
1608A,Les Ardentes,France,"Rue Auguste Hock 21, 4020 Liège, Belgium",50.62716959999999,5.5810103,Liège,Belgium,done
1607,Les Ecrehou,Channel Islands,"Les Ecrehou, France",49.3,-1.9166667,,France,done
5237B,Lhotuan Approaches,Kalimantan,,,,,,not_found
3068,Les Escoumins,Canada,"Les Escoumins, QC, Canada",48.4544089,-69.4972523,,Canada,done
7341,Lian Shi,China,"No.99 Zhangyicun Road, 北京市 BJ, China",39.883694,116.230782,北京市,China,done
