ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
9749,Bahia Kelly,Chile,,,,,,new
9891,Bahia Santiago,Chile,,,,,,new
9904,Bahia Latitud,Chile,,,,,,new
9821,Bahia Sholl,Chile,,,,,,new
2106,Bahia Laura,Argentina,,,,,,new
9863,Bahia Snug,Chile,,,,,,new
9694,Bahia Linao,Chile,,,,,,new
2093,Bahia Thetis,Argentina,,,,,,new
9392,Bahia Magdalena,Mexico,,,,,,new
9708,Bahia Tictoc,Chile,,,,,,new
9865,Bahia Morris (Puerto Sholl),Chile,,,,,,new
9859,Bahia Tilly,Chile,,,,,,new
9860,Bahia Mussel,Chile,,,,,,new
9635,Bahia Tongoy,Chile,,,,,,new
2516,Bahia Nuevitas Entrance,Cuba,,,,,,new
9385,Bahia Tortugas,Mexico,,,,,,new
9498,Bahia Octavia,Colombia,,,,,,new
2110,Bahia Uruguay,Argentina,,,,,,new
2108,Bahia Oso Marino,Argentina,,,,,,new
9954,BAHIA USHUAIA,Argentina,,,,,,new
9496,Bahia Pina,Panama,,,,,,new
9464,Bahia Uvita,Costa Rica,,,,,,new
9381,Bahia Playa Maria,Mexico,,,,,,new
9799,Bahia Wide,Chile,,,,,,new
9836,Bahia Wodsworth,Chile,,,,,,new
5764,Baie De La Poya,New Caledonia,,,,,,new
4250E,Bahrain Approach Buoy,Bahrain,,,,,,new
3713,Baie De Mayumba,Gabon,,,,,,new
4250A,Bahrain Yacht Club (Sitrah),Bahrain,,,,,,new
3877,Baie De Moramba,Madagascar,,,,,,new
7161,Bai Yu,China,,,,,,new
5749,Baie De Poro,New Caledonia,,,,,,new
3695,Baia De Ana Chaves,Sao Tome e Principe,,,,,,new
3946,Baie De Rigny,Madagascar,,,,,,new
3748,Baia De Santa Marta,Angola,,,,,,new
3937,Baie De Tintingue,Madagascar,,,,,,new
3694,Baia De Santo Antonio,Sao Tome e Principe,,,,,,new
6965,Baie De Xuan Day,Vietnam,,,,,,new
3747,Baia Dos Elefantes,Angola,,,,,,new
3499,Baie Do Tarrafal,Cape Verde Islands,,,,,,new
8187,Baidukov Island,Siberia,,,,,,new
3491,Baie Do Tarrafal (Santo Antao),Cape Verde Islands,,,,,,new
3864,Baie Ambavanibe,Madagascar,,,,,,new
3865,Baie Du Courrier,Madagascar,,,,,,new
3098,BAIE COMEAU,Canada,,,,,,new
5756,Baie Du Prony,New Caledonia,,,,,,new
3965,Baie Curieuse,Seychelles,,,,,,new
2007A,Baie Larose,Antarctica,,,,,,new
1815,Baie D'al Hoceima,Morocco,,,,,,new
2006A,Baie Norvegienne,Antarctica,,,,,,new
5750,Baie D'amata,New Caledonia,,,,,,new
5751,Baie Ouinne,New Caledonia,,,,,,new
5762,Baie D'ouarai,New Caledonia,,,,,,new
5760,Baie St. Vincent,New Caledonia,,,,,,new
3904,Baie De Ampasilava,Madagascar,,,,,,new
3193,Baie Verte,Newfoundland,,,,,,new
3886,Baie De Baly,Madagascar,,,,,,new
